ID,X,Y,Z,VX,VY,VZ,PART,MASS,RHO,RHO_0,P,E,HSML
2249,1.3268210815978050e+05,8.3174522844314575e+04,5.4725403111541818e+04,-1.3281106182249459e+01,2.1558586695469330e+01,-8.3863350678853132e-01,1,1.0051851163000000e+16,9.0941981801999998e+02,9.1700000000000000e+02,1.9643436901000000e+06,2.2002151504999999e+05,2.5000000000000000e+04
2250,1.2946559015965462e+05,8.2175484844326973e+04,2.8479455111541844e+04,-1.3344920932249806e+01,2.1282102565469245e+01,-8.5112734636853138e-01,1,1.0051851163000000e+16,9.0944922574999998e+02,9.1700000000000000e+02,2.2817569452999998e+06,2.2006632506000000e+05,2.5000000000000000e+04
2251,1.2065328115963936e+05,7.3567813844323158e+04,-1.7794036998458178e+04,-1.2418658642249284e+01,2.0150235585469318e+01,-7.2890382567853140e-01,1,1.0051851163000000e+16,9.0939575463000006e+02,9.1700000000000000e+02,1.8565900855000000e+06,2.2040717207000000e+05,2.5000000000000000e+04
2252,1.1926517315959930e+05,6.5926457844257355e+04,-5.8747206358458177e+04,-1.1469666322249395e+01,2.0439711475469380e+01,-7.7642357869853140e-01,1,1.0051851163000000e+16,9.0944770632999996e+02,9.1700000000000000e+02,2.2170305858000000e+06,2.1992971281000000e+05,2.5000000000000000e+04
2253,1.2319197515964508e+05,5.9117254844307899e+04,-8.3016655848458176e+04,-1.0510502542249924e+01,2.0817491525469336e+01,-7.2932415957853136e-01,1,1.0051851163000000e+16,9.0943298829000003e+02,9.1700000000000000e+02,1.5289565967000001e+06,2.1843664387999999e+05,2.5000000000000000e+04
2254,1.3238289015960693e+05,4.3629627844333649e+04,-1.0059819101845816e+05,-8.0507747122492219e+00,2.2515213825469345e+01,-9.0244446533853140e-01,1,1.0051851163000000e+16,9.0949793786999999e+02,9.1700000000000000e+02,1.6208812810000000e+06,2.1684316071000000e+05,2.5000000000000000e+04
2255,1.2552639815974236e+05,5.2541460844278336e+04,-1.0844971380845818e+05,-9.6312099922497509e+00,2.1485776205469278e+01,-7.8658933108853135e-01,1,1.0051851163000000e+16,9.0951251382999999e+02,9.1700000000000000e+02,1.4107256990000000e+06,2.1584437980000000e+05,2.5000000000000000e+04
2256,1.1259592215967178e+05,3.8224093844294548e+04,-1.2334018322845819e+05,-7.3604023622492605e+00,1.9425337445469381e+01,-8.5318029517853144e-01,1,1.0051851163000000e+16,9.0950332297000000e+02,9.1700000000000000e+02,1.0975963398000000e+06,2.1523604100999999e+05,2.5000000000000000e+04
2257,9.0711942159652710e+04,3.8348484844326973e+04,-1.2931763732845816e+05,-7.4232203222491080e+00,1.5779650005469307e+01,-6.6459819917853136e-01,1,1.0051851163000000e+16,9.0954194423000001e+02,9.1700000000000000e+02,1.5176034246000000e+06,2.1530360863999999e+05,2.5000000000000000e+04
2258,7.5280250159740448e+04,3.6577319844245911e+04,-1.4124240942845820e+05,-7.2460526222494082e+00,1.3320139535469366e+01,-5.7567347073853137e-01,1,1.0051851163000000e+16,9.0949324376000004e+02,9.1700000000000000e+02,7.9661237988000002e+05,2.1468672641000000e+05,2.5000000000000000e+04
2259,6.2670295159816742e+04,2.6277658844351768e+04,-1.4348668452845817e+05,-5.5288354522499503e+00,1.1235584735469388e+01,-5.1256558815853137e-01,1,1.0051851163000000e+16,9.0955055491999997e+02,9.1700000000000000e+02,1.2107210608000001e+06,2.1420601769000001e+05,2.5000000000000000e+04
2260,4.2792808159828186e+04,2.5714287844300270e+04,-1.5058119089845818e+05,-5.4769415722494159e+00,7.9724462254692980e+00,-3.2403528807853132e-01,1,1.0051851163000000e+16,9.0952336748000005e+02,9.1700000000000000e+02,1.2235912483999999e+06,2.1501556445999999e+05,2.5000000000000000e+04
2261,1.7498366159677505e+04,2.0926726844310760e+04,-1.5580100086845818e+05,-4.6761837022495456e+00,3.7683379154692602e+00,-1.4790323658853133e-01,1,1.0051851163000000e+16,9.0947841185000004e+02,9.1700000000000000e+02,1.1985440895000000e+06,2.1622554319000000e+05,2.5000000000000000e+04
2262,-5.2938798403739929e+03,2.5984259844303131e+04,-1.5692425673845818e+05,-5.4745349922495734e+00,3.6213665469290390e-02,5.3906111661468525e-02,1,1.0051851163000000e+16,9.0944580234000000e+02,9.1700000000000000e+02,7.6072445282000001e+05,2.1593725503999999e+05,2.5000000000000000e+04
2263,-2.7079742840290070e+04,3.3937432844281197e+04,-1.5028976812845818e+05,-6.7154809922494678e+00,-3.5911660045306917e+00,2.3955913186146871e-01,1,1.0051851163000000e+16,9.0944743292999999e+02,9.1700000000000000e+02,1.0670421687000000e+06,2.1674194798000000e+05,2.5000000000000000e+04
2264,-6.1738049840211868e+04,5.4495266844272614e+04,-1.5803061708845818e+05,-1.0154275192249770e+01,-9.2463731645306098e+00,6.5088411496146859e-01,1,1.0051851163000000e+16,9.0941355509000005e+02,9.1700000000000000e+02,7.7703129645000002e+05,2.1690040734000001e+05,2.5000000000000000e+04
2265,-7.9414677840232849e+04,6.3929608844280243e+04,-1.5282002469845818e+05,-1.1733852052249858e+01,-1.2174697174530706e+01,8.1768024666146855e-01,1,1.0051851163000000e+16,9.0936956178000003e+02,9.1700000000000000e+02,3.8480557585999998e+05,2.1706268351999999e+05,2.5000000000000000e+04
2266,-6.9766549840211868e+04,1.3358791384434700e+05,-1.2159171240845817e+05,-2.3150651692249085e+01,-1.0959470384530619e+01,1.1583172170614688e+00,1,1.0051851163000000e+16,9.0934783164999999e+02,9.1700000000000000e+02,3.3380373557999998e+05,2.1753945196000001e+05,2.5000000000000000e+04
2267,1.6035596615982056e+05,1.1559101584434509e+05,-8.7756337618458172e+04,-1.9980495782249818e+01,2.7218811775469362e+01,-7.0108532088853137e-01,1,1.0051851163000000e+16,9.0919266617999995e+02,9.1700000000000000e+02,4.7032140237999998e+05,2.2233593242000000e+05,2.5000000000000000e+04
2268,2.1352562615966797e+05,-2.9857311557531357e+03,-1.5531939648458181e+04,2.9714686775059818e-01,3.5599013035469284e+01,-2.3634173820385316e+00,1,1.0051851163000000e+16,9.0821261597000000e+02,9.1700000000000000e+02,2.0969047455000001e+05,2.4953114861000000e+05,2.5000000000000000e+04
2269,2.0068104315972328e+05,7.5010057844281197e+04,4.7361681711541838e+04,-1.2068078182249337e+01,3.3190696635469294e+01,-1.7067423622985314e+00,1,1.0051851163000000e+16,9.0897782912000002e+02,9.1700000000000000e+02,6.0183871920999998e+04,2.2731250469000000e+05,2.5000000000000000e+04
2270,2.9751292159795761e+04,1.5679631884431839e+05,1.1336447427154181e+05,-2.5116285772249284e+01,3.9840892554692573e+00,8.5755286616146864e-01,1,1.0051851163000000e+16,9.0921924979999994e+02,9.1700000000000000e+02,1.8784885879999999e+05,2.2079387314000001e+05,2.5000000000000000e+04
2271,2.2401603159666061e+04,1.0325323284435272e+05,1.2633196806154185e+05,-1.5796636702249089e+01,2.5953795454693136e+00,6.2905441776146853e-01,1,1.0051851163000000e+16,9.0943370047999997e+02,9.1700000000000000e+02,1.4416338145999999e+06,2.1817371669000000e+05,2.5000000000000000e+04
